"rgi_id","rgi_g_id","segment_id","is_main","outflow_id","strahler_n","length_m"
"RGI2000-v7.0-L-01-00107","RGI2000-v7.0-G-01-00101",0,1,-1,1,704
"RGI2000-v7.0-L-01-00108","RGI2000-v7.0-G-01-00102",0,1,-1,1,1669
"RGI2000-v7.0-L-01-00109","RGI2000-v7.0-G-01-00103",0,1,-1,1,885
"RGI2000-v7.0-L-01-00110","RGI2000-v7.0-G-01-00104",0,1,-1,1,804
"RGI2000-v7.0-L-01-00111","RGI2000-v7.0-G-01-00105",0,0,1,1,337
"RGI2000-v7.0-L-01-00112","RGI2000-v7.0-G-01-00105",1,1,-1,2,640
"RGI2000-v7.0-L-01-00113","RGI2000-v7.0-G-01-00106",0,1,-1,1,315
"RGI2000-v7.0-L-01-00114","RGI2000-v7.0-G-01-00107",0,1,-1,1,650
"RGI2000-v7.0-L-01-00115","RGI2000-v7.0-G-01-00108",0,1,-1,1,692
"RGI2000-v7.0-L-01-00116","RGI2000-v7.0-G-01-00109",0,1,-1,1,708
"RGI2000-v7.0-L-01-00117","RGI2000-v7.0-G-01-00110",0,1,-1,1,2188
"RGI2000-v7.0-L-01-00118","RGI2000-v7.0-G-01-00111",0,1,-1,1,1057
"RGI2000-v7.0-L-01-00119","RGI2000-v7.0-G-01-00112",0,1,-1,1,600
"RGI2000-v7.0-L-01-00120","RGI2000-v7.0-G-01-00113",0,1,-1,1,691
"RGI2000-v7.0-L-01-00121","RGI2000-v7.0-G-01-00114",0,1,-1,1,701
"RGI2000-v7.0-L-01-00122","RGI2000-v7.0-G-01-00115",0,1,-1,1,722
"RGI2000-v7.0-L-01-00123","RGI2000-v7.0-G-01-00116",0,1,-1,1,1382
"RGI2000-v7.0-L-01-00124","RGI2000-v7.0-G-01-00117",0,1,-1,1,1205
"RGI2000-v7.0-L-01-00125","RGI2000-v7.0-G-01-00118",0,1,-1,1,331
"RGI2000-v7.0-L-01-00126","RGI2000-v7.0-G-01-00119",0,1,-1,1,904
"RGI2000-v7.0-L-01-00127","RGI2000-v7.0-G-01-00120",0,1,-1,1,800
"RGI2000-v7.0-L-01-00128","RGI2000-v7.0-G-01-00121",0,1,-1,1,443
"RGI2000-v7.0-L-01-00129","RGI2000-v7.0-G-01-00122",0,0,1,1,403
"RGI2000-v7.0-L-01-00130","RGI2000-v7.0-G-01-00122",1,1,-1,2,761
"RGI2000-v7.0-L-01-00131","RGI2000-v7.0-G-01-00123",0,1,-1,1,1001
"RGI2000-v7.0-L-01-00132","RGI2000-v7.0-G-01-00124",0,1,-1,1,1075
"RGI2000-v7.0-L-01-00133","RGI2000-v7.0-G-01-00125",0,1,-1,1,381
"RGI2000-v7.0-L-01-00134","RGI2000-v7.0-G-01-00126",0,1,-1,1,1057
"RGI2000-v7.0-L-01-00135","RGI2000-v7.0-G-01-00127",0,1,-1,1,700
"RGI2000-v7.0-L-01-00136","RGI2000-v7.0-G-01-00128",0,1,-1,1,277
"RGI2000-v7.0-L-01-00137","RGI2000-v7.0-G-01-00129",0,1,-1,1,647
"RGI2000-v7.0-L-01-00138","RGI2000-v7.0-G-01-00130",0,1,-1,1,428
"RGI2000-v7.0-L-01-00139","RGI2000-v7.0-G-01-00131",0,1,-1,1,438
"RGI2000-v7.0-L-01-00140","RGI2000-v7.0-G-01-00132",0,1,-1,1,316
"RGI2000-v7.0-L-01-00141","RGI2000-v7.0-G-01-00133",0,1,-1,1,1104
"RGI2000-v7.0-L-01-00142","RGI2000-v7.0-G-01-00134",0,1,-1,1,806
"RGI2000-v7.0-L-01-00143","RGI2000-v7.0-G-01-00135",0,1,-1,1,1206
"RGI2000-v7.0-L-01-00144","RGI2000-v7.0-G-01-00136",0,1,-1,1,1216
"RGI2000-v7.0-L-01-00145","RGI2000-v7.0-G-01-00137",0,1,-1,1,427
"RGI2000-v7.0-L-01-00146","RGI2000-v7.0-G-01-00138",0,1,-1,1,1456
"RGI2000-v7.0-L-01-00147","RGI2000-v7.0-G-01-00139",0,1,-1,1,563
