Region,Glacier_ID,Point_Index,Longitude,Latitude,Distance_m
Alaska,RGI2000-v7.0-G-01-13271,96,-140.82976228440813,60.08028265833956,48000
Alaska,RGI2000-v7.0-G-01-13271,97,-140.8256659036947,60.07649148497591,48500
Alaska,RGI2000-v7.0-G-01-13271,98,-140.82561760236135,60.07202492099209,49000
Alaska,RGI2000-v7.0-G-01-13271,99,-140.8274925176529,60.06766141123579,49500
Alaska,RGI2000-v7.0-G-01-13271,100,-140.83088440315512,60.063523353912245,50000
Alaska,RGI2000-v7.0-G-01-13271,101,-140.83498113218926,60.05954226402022,50500
Alaska,RGI2000-v7.0-G-01-13271,102,-140.83963265392845,60.05571469941275,51000
Alaska,RGI2000-v7.0-G-01-13271,103,-140.84512451923854,60.05217498269584,51500
Alaska,RGI2000-v7.0-G-01-13271,104,-140.8511199689242,60.048838458872204,52000
Alaska,RGI2000-v7.0-G-01-13271,105,-140.8573018609942,60.04558692943827,52500
Alaska,RGI2000-v7.0-G-01-13271,106,-140.86357980049982,60.042381281088396,53000
Alaska,RGI2000-v7.0-G-01-13271,107,-140.8699242953112,60.039208346308136,53500
Alaska,RGI2000-v7.0-G-01-13271,108,-140.87641437913092,60.03610930177001,54000
Alaska,RGI2000-v7.0-G-01-13271,109,-140.88305811664156,60.033091804781925,54500
Alaska,RGI2000-v7.0-G-01-13271,110,-140.88983378643147,60.03014783950819,55000
Alaska,RGI2000-v7.0-G-01-13271,111,-140.89672250423845,60.02726963498971,55500
Alaska,RGI2000-v7.0-G-01-13271,112,-140.90371279069268,60.02445280652323,56000
Alaska,RGI2000-v7.0-G-01-13271,113,-140.91079827317338,60.021695665921946,56500
Alaska,RGI2000-v7.0-G-01-13271,114,-140.9179654812929,60.01899159775073,57000
Alaska,RGI2000-v7.0-G-01-13271,115,-140.92520572306375,60.01633643032636,57500
Alaska,RGI2000-v7.0-G-01-13271,116,-140.93245190013346,60.01368551705561,58000
Alaska,RGI2000-v7.0-G-01-13271,117,-140.93968025476704,60.011023012282024,58500
Alaska,RGI2000-v7.0-G-01-13271,118,-140.94688248262972,60.00834347373616,59000
Alaska,RGI2000-v7.0-G-01-13271,119,-140.95402633866408,60.00562606634932,59500
Alaska,RGI2000-v7.0-G-01-13271,120,-140.96091656996472,60.002757456559,60000
Alaska,RGI2000-v7.0-G-01-13271,121,-140.96803857841414,60.0000305991613,60500
Alaska,RGI2000-v7.0-G-01-13271,122,-140.97547381478174,59.997515167343614,61000
Alaska,RGI2000-v7.0-G-01-13271,123,-140.98295246248696,59.99503279485862,61500
Alaska,RGI2000-v7.0-G-01-13271,124,-140.99015029242366,59.99235419731969,62000
Alaska,RGI2000-v7.0-G-01-13271,125,-140.9970735765743,59.989501820728506,62500
Alaska,RGI2000-v7.0-G-01-13271,126,-141.003753018099,59.98650938910964,63000
Alaska,RGI2000-v7.0-G-01-13271,127,-141.01025161583038,59.98342021102715,63500
Alaska,RGI2000-v7.0-G-01-13271,128,-141.01657676566023,59.980243479267955,64000
Alaska,RGI2000-v7.0-G-01-13271,129,-141.0227289879145,59.976984219026114,64500
Alaska,RGI2000-v7.0-G-01-13271,130,-141.0285186028766,59.973566027390774,65000
Alaska,RGI2000-v7.0-G-01-13271,131,-141.03206600629758,59.96958163604322,65500
Alaska,RGI2000-v7.0-G-01-13271,132,-141.0350896937866,59.96542798563206,66000
Alaska,RGI2000-v7.0-G-01-13271,133,-141.0382682550129,59.96124733309446,66500
Alaska,RGI2000-v7.0-G-01-13271,134,-141.0411442304139,59.95701180662097,67000
Alaska,RGI2000-v7.0-G-01-13271,135,-141.04429324324337,59.95282530393028,67500
Alaska,RGI2000-v7.0-G-01-13271,136,-141.04800322271782,59.948755377195106,68000
Alaska,RGI2000-v7.0-G-01-13271,137,-141.0517060676008,59.94469252047954,68500
Alaska,RGI2000-v7.0-G-01-13271,138,-141.05337076091612,59.940311371730736,69000
Alaska,RGI2000-v7.0-G-01-13271,139,-141.05334619448274,59.93584277405154,69500
Alaska,RGI2000-v7.0-G-01-13271,140,-141.05172272226866,59.93150423292442,70000
Alaska,RGI2000-v7.0-G-01-13271,141,-141.05078831198446,59.92707244728728,70500
Alaska,RGI2000-v7.0-G-01-13271,142,-141.04772555507873,59.922874020766585,71000
Alaska,RGI2000-v7.0-G-01-13271,143,-141.04549227235273,59.918550304064134,71500
Alaska,RGI2000-v7.0-G-01-13271,144,-141.0435558688613,59.914188657851575,72000
Alaska,RGI2000-v7.0-G-01-13271,145,-141.0409983730501,59.90990344722605,72500
Alaska,RGI2000-v7.0-G-01-13271,146,-141.03824233165176,59.905648825574715,73000
Alaska,RGI2000-v7.0-G-01-13271,147,-141.03550304828983,59.901391622556375,73500
Alaska,RGI2000-v7.0-G-01-13271,148,-141.03305001483065,59.89709176902151,74000
Alaska,RGI2000-v7.0-G-01-13271,149,-141.03185913828827,59.89267662523839,74500
Alaska,RGI2000-v7.0-G-01-13271,150,-141.03040628131708,59.888324981769564,75000
Alaska,RGI2000-v7.0-G-01-13271,151,-141.03020006294528,59.883855321700274,75500
Alaska,RGI2000-v7.0-G-01-13271,152,-141.03015041845393,59.87938439077335,76000
Alaska,RGI2000-v7.0-G-01-13271,153,-141.03049821431657,59.874918871563644,76500
Alaska,RGI2000-v7.0-G-01-13271,154,-141.03187528553343,59.87050384433586,77000
Alaska,RGI2000-v7.0-G-01-13271,155,-141.03423035834828,59.86619490152104,77500
Alaska,RGI2000-v7.0-G-01-13271,156,-141.03762655969933,59.86206102363707,78000
Alaska,RGI2000-v7.0-G-01-13271,157,-141.04209661850408,59.85819080265885,78500
Alaska,RGI2000-v7.0-G-01-13271,158,-141.04694643119151,59.85443209156789,79000
Alaska,RGI2000-v7.0-G-01-13271,159,-141.0517951490863,59.85067320080939,79500
